,award_company,award_type,movie,person,year
365,golden_globe,best_actor,A Double Life,Ronald Colman,1947
366,golden_globe,best_actor,Hamlet,Laurence Olivier,1948
367,golden_globe,best_actor,All the King's Men,Broderick Crawford,1949
368,golden_globe,best_actor,Cyrano de Bergerac,José Ferrer,1950
369,golden_globe,best_actor,Death of a Salesman,Fredric March,1951
370,golden_globe,best_actor,High Noon,Gary Cooper,1952
371,golden_globe,best_actor,The Actress,Spencer Tracy,1953
372,golden_globe,best_actor,On the Waterfront,Marlon Brando,1954
373,golden_globe,best_actor,Marty,Ernest Borgnine,1955
374,golden_globe,best_actor,Lust for Life,Kirk Douglas,1956
375,golden_globe,best_actor,The Bridge on the River Kwai,Alec Guinness,1957
376,golden_globe,best_actor,Separate Tables,David Niven,1958
377,golden_globe,best_actor,Career,Anthony Franciosa,1959
378,golden_globe,best_actor,Elmer Gantry,Burt Lancaster,1960
379,golden_globe,best_actor,Judgment at Nuremberg,Maximilian Schell,1961
380,golden_globe,best_actor,To Kill a Mockingbird,Gregory Peck,1962
381,golden_globe,best_actor,Lilies of the Field,Sidney Poitier,1963
382,golden_globe,best_actor,Becket,Peter O'Toole,1964
383,golden_globe,best_actor,Doctor Zhivago,Omar Sharif,1965
384,golden_globe,best_actor,A Man for All Seasons,Paul Scofield,1966
385,golden_globe,best_actor,In the Heat of the Night,Rod Steiger,1967
386,golden_globe,best_actor,The Lion in Winter,Peter O'Toole,1968
387,golden_globe,best_actor,True Grit,John Wayne,1969
388,golden_globe,best_actor,Patton,George C. Scott,1970
389,golden_globe,best_actor,The French Connection,Gene Hackman,1971
390,golden_globe,best_actor,The Godfather,Marlon Brando,1972
391,golden_globe,best_actor,Serpico,Al Pacino,1973
392,golden_globe,best_actor,Chinatown,Jack Nicholson,1974
393,golden_globe,best_actor,One Flew Over the Cuckoo's Nest,Jack Nicholson,1975
394,golden_globe,best_actor,Network,Peter Finch,1976
395,golden_globe,best_actor,Equus,Richard Burton,1977
396,golden_globe,best_actor,Coming Home,Jon Voight,1978
397,golden_globe,best_actor,Kramer vs. Kramer,Dustin Hoffman,1979
398,golden_globe,best_actor,Raging Bull,Robert De Niro,1980
399,golden_globe,best_actor,On Golden Pond,Henry Fonda,1981
400,golden_globe,best_actor,Gandhi,Ben Kingsley,1982
401,golden_globe,best_actor,The Dresser,Tom Courtenay,1983
