,award_company,award_type,movie,person,year
1460,oscars,best_picture,Hannah and Her Sisters,,1986
1461,oscars,best_picture,The Mission,,1986
1462,oscars,best_picture,A Room with a View,,1986
1463,oscars,best_picture,The Last Emperor,,1987
1464,oscars,best_picture,Broadcast News,,1987
1465,oscars,best_picture,Fatal Attraction,,1987
1466,oscars,best_picture,Hope and Glory,,1987
1467,oscars,best_picture,Moonstruck,,1987
1468,oscars,best_picture,Rain Man,,1988
1469,oscars,best_picture,The Accidental Tourist,,1988
1470,oscars,best_picture,Dangerous Liaisons,,1988
1471,oscars,best_picture,Mississippi Burning,,1988
1472,oscars,best_picture,Working Girl,,1988
1473,oscars,best_picture,Driving Miss Daisy,,1989
1474,oscars,best_picture,Born on the Fourth of July,,1989
1475,oscars,best_picture,Dead Poets Society,,1989
1476,oscars,best_picture,Field of Dreams,,1989
1477,oscars,best_picture,My Left Foot,,1989
1478,oscars,best_picture,Dances with Wolves,,1990
1479,oscars,best_picture,Awakenings,,1990
1480,oscars,best_picture,Ghost,,1990
1481,oscars,best_picture,The Godfather Part III,,1990
1482,oscars,best_picture,Goodfellas,,1990
1483,oscars,best_picture,The Silence of the Lambs,,1991
1484,oscars,best_picture,Beauty and the Beast,,1991
1485,oscars,best_picture,Bugsy,,1991
1486,oscars,best_picture,JFK,,1991
1487,oscars,best_picture,The Prince of Tides,,1991
1488,oscars,best_picture,Unforgiven,,1992
1489,oscars,best_picture,The Crying Game,,1992
1490,oscars,best_picture,A Few Good Men,,1992
1491,oscars,best_picture,Howards End,,1992
1492,oscars,best_picture,Scent of a Woman,,1992
1493,oscars,best_picture,Schindler's List,,1993
1494,oscars,best_picture,The Fugitive,,1993
1495,oscars,best_picture,In the Name of the Father,,1993
1496,oscars,best_picture,The Piano,,1993
1497,oscars,best_picture,The Remains of the Day,,1993
1498,oscars,best_picture,Forrest Gump,,1994
1499,oscars,best_picture,Four Weddings and a Funeral,,1994
1500,oscars,best_picture,Pulp Fiction,,1994
1501,oscars,best_picture,Quiz Show,,1994
1502,oscars,best_picture,The Shawshank Redemption,,1994
1503,oscars,best_picture,Braveheart,,1995
1504,oscars,best_picture,Apollo 13,,1995
1505,oscars,best_picture,Babe,,1995
1506,oscars,best_picture,The Postman (Il Postino),,1995
1507,oscars,best_picture,Sense and Sensibility,,1995
1508,oscars,best_picture,The English Patient,,1996
1509,oscars,best_picture,Fargo,,1996
1510,oscars,best_picture,Jerry Maguire,,1996
1511,oscars,best_picture,Secrets & Lies,,1996
1512,oscars,best_picture,Shine,,1996
1513,oscars,best_picture,Titanic,,1997
1514,oscars,best_picture,As Good as It Gets,,1997
1515,oscars,best_picture,The Full Monty,,1997
1516,oscars,best_picture,Good Will Hunting,,1997
1517,oscars,best_picture,L.A. Confidential,,1997
1518,oscars,best_picture,Shakespeare in Love,,1998
1519,oscars,best_picture,Elizabeth,,1998
1520,oscars,best_picture,Life Is Beautiful,,1998
1521,oscars,best_picture,Saving Private Ryan,,1998
1522,oscars,best_picture,The Thin Red Line,,1998
1523,oscars,best_picture,American Beauty,,1999
1524,oscars,best_picture,The Cider House Rules,,1999
1525,oscars,best_picture,The Green Mile,,1999
1526,oscars,best_picture,The Insider,,1999
1527,oscars,best_picture,The Sixth Sense,,1999
1528,oscars,best_picture,Gladiator,,2000
1529,oscars,best_picture,Chocolat,,2000
1530,oscars,best_picture,"Crouching Tiger, Hidden Dragon",,2000
1531,oscars,best_picture,Erin Brockovich,,2000
1532,oscars,best_picture,Traffic,,2000
1533,oscars,best_picture,A Beautiful Mind,,2001
1534,oscars,best_picture,Gosford Park,,2001
1535,oscars,best_picture,In the Bedroom,,2001
1536,oscars,best_picture,The Lord of the Rings: The Fellowship of the Ring,,2001
1537,oscars,best_picture,Moulin Rouge!,,2001
1538,oscars,best_picture,Chicago,,2002
1539,oscars,best_picture,Gangs of New York,,2002
1540,oscars,best_picture,The Hours,,2002
1541,oscars,best_picture,The Lord of the Rings: The Two Towers,,2002
1542,oscars,best_picture,The Pianist,,2002
1543,oscars,best_picture,The Lord of the Rings: The Return of the King,,2003
1544,oscars,best_picture,Lost in Translation,,2003
1545,oscars,best_picture,Master and Commander: The Far Side of the World,,2003
1546,oscars,best_picture,Mystic River,,2003
1547,oscars,best_picture,Seabiscuit,,2003
1548,oscars,best_picture,Million Dollar Baby,,2004
1549,oscars,best_picture,The Aviator,,2004
1550,oscars,best_picture,Finding Neverland,,2004
1551,oscars,best_picture,Ray,,2004
1552,oscars,best_picture,Sideways,,2004
1553,oscars,best_picture,Crash,,2005
1554,oscars,best_picture,Brokeback Mountain,,2005
1555,oscars,best_picture,Capote,,2005
